Matches played,Erling Haaland,Andy Cole,Alan Shearer,Ruud van Nistelrooy,Fernando Torres,Mohamed Salah,Pierre-Emerick Aubameyang,Sergio Agüero,Kevin Phillips,Thierry Henry,Diego Costa,Harry Kane
1,2,0,2,2,0,0,1,2,0,0,1,0
2,2,0,3,2,1,0,1,2,2,0,2,0
3,3,1,3,2,1,1,1,3,2,0,4,0
4,6,1,3,2,3,1,2,6,3,0,7,0
5,9,2,4,3,3,2,3,8,4,0,7,1
6,10,3,6,4,3,2,5,8,5,0,8,2
7,11,5,6,4,3,2,6,8,5,0,9,3
8,14,5,8,4,4,2,6,9,8,1,9,3
9,15,7,9,5,4,2,6,9,8,1,10,3
10,15,8,10,5,5,2,6,9,10,1,11,3
11,17,8,12,5,5,2,8,10,12,1,11,3
12,18,9,12,6,6,2,9,10,13,1,11,3
13,18,10,12,7,6,2,10,11,13,3,12,3
14,20,12,12,10,6,3,10,11,13,3,12,3
15,21,15,12,11,8,3,10,11,13,4,13,3
16,21,16,12,12,9,4,10,13,15,4,13,4
17,21,16,13,13,9,4,11,13,17,5,14,4
18,22,16,13,14,10,5,11,13,19,5,15,5
19,25,17,14,15,11,6,12,14,19,7,17,5
20,25,18,14,15,11,6,12,14,19,7,17,5
21,25,19,16,16,11,6,14,14,20,8,17,5
22,26,19,16,18,12,7,16,14,22,8,18,6
23,26,21,16,18,15,7,17,15,23,8,19,7
24,27,22,16,19,15,9,17,15,23,8,19,8
25,27,22,17,19,18,11,17,16,24,9,19,8
26,28,23,17,21,19,12,18,16,25,10,20,10
27,30,26,17,21,20,14,20,17,25,11,20,11
28,32,27,18,21,20,14,20,17,26,12,20,11
29,33,27,20,21,21,15,20,19,27,14,21,13
30,34,28,20,22,21,15,20,21,27,16,21,15
31,35,29,23,23,22,16,22,22,27,17,21,16
32,35,30,24,23,23,17,23,22,29,17,21,17
33,36,31,24,23,24,17,23,22,29,18,22,17
34,36,31,26,23,25,19,24,23,29,20,22,19
35,36,31,28,23,25,20,24,23,30,21,22,19
36,38,32,28,24,25,20,24,23,30,21,22,22
37,38,32,29,24,25,21,25,24,30,21,23,22
38,39,33,31,24,27,23,25,25,31,21,23,22
39,42,33,32,25,29,24,25,25,31,22,23,23
40,43,34,32,26,29,25,26,25,31,23,23,23
41,44,35,34,27,29,26,26,25,31,23,25,23
42,44,36,35,27,29,26,27,26,32,25,26,23
43,44,38,37,27,29,30,27,28,33,26,26,23
44,45,38,39,28,29,31,27,28,33,26,27,24
45,47,40,40,31,29,32,28,28,34,26,28,24
46,47,40,41,31,31,33,29,28,34,26,28,24
47,49,40,41,31,32,33,29,28,34,27,29,24
48,50,41,41,31,32,33,30,29,34,27,30,24
49,NA,41,41,31,33,34,32,29,34,27,30,24
50,NA,41,41,31,33,35,33,29,34,30,31,24
51,NA,42,41,32,33,35,34,30,34,30,31,25
52,NA,43,43,32,35,36,34,31,35,30,31,25
53,NA,43,43,33,37,36,35,31,35,30,31,25
54,NA,43,45,34,37,36,37,31,35,30,32,28
55,NA,43,45,35,37,37,38,32,38,31,33,29
56,NA,43,46,35,37,37,39,32,39,32,34,30
57,NA,43,46,35,38,37,39,32,40,32,34,32
58,NA,43,47,35,38,38,39,32,40,32,36,32
59,NA,43,47,38,39,39,39,33,40,33,37,32
60,NA,43,47,40,40,39,40,33,40,33,37,32
61,NA,44,47,41,41,40,40,34,40,33,38,33
62,NA,45,48,42,41,41,40,34,40,34,39,35
63,NA,45,49,43,43,41,42,35,41,34,39,35
64,NA,45,49,44,46,41,42,35,41,34,40,35
65,NA,50,49,47,46,44,43,36,41,34,41,35
66,NA,NA,51,48,47,44,43,36,41,34,42,36
67,NA,NA,NA,49,48,45,43,36,41,35,42,37
68,NA,NA,NA,50,48,46,44,36,41,35,43,39
69,NA,NA,NA,NA,49,47,45,38,42,36,44,39
70,NA,NA,NA,NA,49,47,45,39,44,37,44,40
71,NA,NA,NA,NA,49,48,46,41,45,38,45,40
72,NA,NA,NA,NA,50,50,46,42,45,38,46,40
73,NA,NA,NA,NA,NA,NA,47,43,46,40,46,41
74,NA,NA,NA,NA,NA,NA,49,43,46,41,47,43
75,NA,NA,NA,NA,NA,NA,49,45,46,42,47,45
76,NA,NA,NA,NA,NA,NA,49,45,47,42,47,46
77,NA,NA,NA,NA,NA,NA,49,46,47,44,47,46
78,NA,NA,NA,NA,NA,NA,49,47,48,46,48,48
79,NA,NA,NA,NA,NA,NA,51,48,49,47,49,48
80,NA,NA,NA,NA,NA,NA,NA,49,49,49,49,49
81,NA,NA,NA,NA,NA,NA,NA,50,49,49,49,49
82,NA,NA,NA,NA,NA,NA,NA,NA,49,49,49,49
83,NA,NA,NA,NA,NA,NA,NA,NA,50,50,49,49
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,49
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
